episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
263, -4185.683576703072, 4, 49.8347030169989, 823, 120339,                                             120339, 0.0, 5122.619140625
264, 1501.3120365142822, 1, 15.73501902299904, 248, 120587,                                             120587, 0.0, 5096.2802734375
265, -2531.5480798482895, 3, 6.132342486998823, 99, 120686,                                             120686, 0.0, 4584.658203125
266, 1167.7956409454346, 1, 18.967112823998832, 305, 120991,                                             120991, 0.0, 4970.00048828125
267, -4078.9135145545006, 4, 50.422161963999315, 823, 121814,                                             121814, 0.0, 5004.6259765625
268, 1542.7435058355331, 1, 16.356070392999754, 256, 122070,                                             122070, 0.0, 4442.38720703125
269, -2948.7861813902855, 4, 50.03017721099968, 807, 122877,                                             122877, 0.0, 4776.29638671875
270, -3648.7255125045776, 4, 50.64694081500056, 815, 123692,                                             123692, 0.0, 4733.13427734375
271, -5355.153012037277, 2, 32.56498355400072, 526, 124218,                                             124218, 0.0, 4017.43017578125
272, -5670.898594737053, 4, 49.44552746399859, 806, 125024,                                             125024, 0.0, 5447.19189453125
273, -4672.1379861831665, 2, 19.553149733999817, 309, 125333,                                             125333, 0.0, 4744.8271484375
274, -5005.2774884700775, 4, 50.44194342300034, 834, 126167,                                             126167, 0.0, 4923.41357421875
275, -6615.264678001404, 2, 43.82853215900104, 719, 126886,                                             126886, 0.0, 5453.498046875
